Text: CXXV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Epilogue, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: vi, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: CHAPTER I., Font: AGaramondPro-Bold, Size: 20.663000106811523
Text: LOOMINGS, Font: AGaramondPro-Bold, Size: 24.78700065612793
Text: Call me Ishmael. Some years ago—never mind how long precisely—having little, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: or no money in my purse, and nothing particular to interest me on shore, I thought, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: I would sail about a little and see the watery part of the world. It is a way I have, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: of driving oﬀ the spleen, and regulating the circulation. Whenever I ﬁnd myself, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: growing grim about the mouth; whenever it is a damp, drizzly November in my, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: soul; whenever I ﬁnd myself involuntarily pausing before coﬃn warehouses, and, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: bringing up the rear of every funeral I meet; and especially whenever my hypos, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: get such an upper hand of me, that it requires a strong moral principle to prevent, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: me from deliberately stepping into the street, and methodically knocking people’s, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: hats oﬀ—then, I account it high time to get to sea as soon as I can. is is my, Font: AGaramondPro-Regular, Size: 10.909000396728516
